view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
hs_l1,n_peers,m12,all,122,0.05487792643844015,0.6020648332389749,-0.1281297156459836,-0.5875452710960337
hs_l1,n_peers,m12,main_profitable,98,0.03367852659910214,0.3301681204169164,-0.14341097843654052,-0.563239456186843
hs_l1,n_peers,m12,main_all,104,0.04363707280419613,0.44113303387858344,-0.20814817910103456,-0.7983521161811971
hs_l1,mean,unlock_d30,all,202,0.08857114651407588,1.2575274340555027,0.16450277695772292,1.941744387242644
hs_l1,mean,unlock_d30,main_profitable,154,0.06898699287415687,0.8525599432188645,0.1596833775784351,1.4420284094795213
hs_l1,mean,unlock_d30,main_all,174,0.050428214714402946,0.6622023636467561,0.16124847145751675,1.6334872042958912
hs_l1,median,unlock_d30,all,202,0.1295617225731314,1.8478543531856777,0.08088626554941183,1.4954639063812754
hs_l1,median,unlock_d30,main_profitable,154,0.10500959572501094,1.3018428622409612,0.12646702002894677,1.9276381094367652
hs_l1,median,unlock_d30,main_all,174,0.09184027825871353,1.2095859688980248,0.0996696497373833,1.7162727383020588
hs_l1,top3_recent_mean,unlock_d30,all,202,0.04783888867516941,0.677319538628215,0.12509574852000574,1.3535311095249396
hs_l1,top3_recent_mean,unlock_d30,main_profitable,154,0.05527964020275308,0.6825768966815524,0.17962140475841026,1.5565711829277846
hs_l1,top3_recent_mean,unlock_d30,main_all,174,0.04436669033431963,0.5824372067898703,0.14422708119216457,1.3666978399995413
hs_l1,n_peers,unlock_d30,all,202,0.005131050860058127,0.0725649723952832,-0.01712071330427533,-0.29406029813237344
hs_l1,n_peers,unlock_d30,main_profitable,154,-0.013766930117888331,-0.1697462002153512,0.015032583312002488,0.2276472581851144
hs_l1,n_peers,unlock_d30,main_all,174,0.015348110102401722,0.20131228933071904,0.024841180321054267,0.42402633866703443
hs_l1,mean,unlock_d90,all,144,0.10535975135557325,1.26253338080141,0.10841526776508215,0.8279254005683551
hs_l1,mean,unlock_d90,main_profitable,112,0.07547355656677243,0.7938375198033062,-0.0210965291882621,-0.1408885888015292
hs_l1,mean,unlock_d90,main_all,125,0.10943323357252677,1.2210064553171878,0.08073816414518133,0.5563459921379842
hs_l1,median,unlock_d90,all,144,0.02587348344657397,0.3084213904030339,0.0772730247955482,0.36525715851858576
hs_l1,median,unlock_d90,main_profitable,112,-0.02748341394483088,-0.28835740146267236,0.10167664019301087,0.38288799556026754
hs_l1,median,unlock_d90,main_all,125,-0.011478882662428733,-0.12731535533458327,0.12740781254046998,0.5433095292888892
hs_l1,top3_recent_mean,unlock_d90,all,144,0.2044943205158586,2.4894385031744815,0.25208682358967394,1.7431912222464998
hs_l1,top3_recent_mean,unlock_d90,main_profitable,112,0.13974464127857303,1.4801782999702333,0.15654427410039162,0.9479515904263704
hs_l1,top3_recent_mean,unlock_d90,main_all,125,0.19941515321013842,2.256951693200026,0.2680230603578122,1.7693007053250174
hs_l1,n_peers,unlock_d90,all,144,0.07730622410626295,0.9239750700078531,0.07213911135105484,0.7003075497046479
