view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
sw_l1,mean,unlock_d30,main_all,44,0.3004031438633988,2.04110895772044,0.10474453751884501,0.8239770388657365
chapter,median,d30,all,347,0.10894261997086535,2.0356353765678716,0.12686017697037522,1.517938786509761
chapter,top3_recent_mean,m12,all,137,0.1723189778067325,2.0325704036742542,-0.24725638079493908,-0.39916256967305497
chapter,top3_recent_mean,m12,main_profitable,121,0.1817569086377024,2.0163186153448915,-0.23945710455598232,-0.3443445127646704
chapter,median,m6,main_all,219,0.13125296170689746,1.9503495110860207,0.0204514859087749,0.0907268531346048
concept_any,mean,m3,main_all,72,-0.2258627425065564,-1.9398301696856686,-0.3912204116201876,-2.547585678516053
sw_l1,median,unlock_d90,all,41,0.2878108497843916,1.876790294339156,0.47286403584528897,1.8828166765622099
sw_l3,median,d30,main_profitable,24,-0.3704028308215395,-1.8703812091372036,-0.6163596359713364,-1.6431848182476432
hs_l1,median,unlock_d30,all,202,0.1295617225731314,1.8478543531856777,0.08088626554941186,1.4954639063812754
ths_global_l4,top3_recent_mean,unlock_d90,all,35,0.30597686457317474,1.8462514278248967,0.634694009098835,1.9991185747656655
sw_l1,median,unlock_d30,main_all,44,0.2735865929057601,1.8433732939560497,0.13885400486123806,1.1046685443469366
hs_l1,top3_recent_mean,d30,main_profitable,234,-0.11965389901695762,-1.8357021920005598,-0.10646207116043596,-1.316243496436868
ths_global_l1,median,d1_close,main_all,281,-0.10837379395947164,-1.8209240939179776,0.00975424204796888,0.24138172871286082
sw_l1,top3_recent_mean,unlock_d90,all,41,0.2797789123123071,1.8198973370413192,0.16715010879075082,0.9671810875080938
sw_l1,top3_recent_mean,d1_close,all,136,0.1529607658247697,1.7917335280193634,0.0610904539256604,0.9051399316622347
sw_l1,mean,m3,all,108,0.17112374607781694,1.7882036171153752,0.35602375413199744,1.628037871936279
hs_l3,top3_recent_mean,d30,main_all,130,-0.15595642462303005,-1.786302842308284,-0.3008083834769648,-2.5855295170848285
ths_global_l4,mean,unlock_d90,all,35,0.2964370081811638,1.7830445237432493,0.5501465051723535,2.147398096783544
hs_l3,top3_recent_mean,d30,main_profitable,105,-0.17245910672766862,-1.7768925259547488,-0.336479490256253,-2.3710294080050907
concept_any,mean,d30,main_profitable,75,-0.20282081678365865,-1.7696831462139382,-0.1428742450496311,-0.934197126423404
chapter,mean,m12,main_all,127,0.15574985646066764,1.7628492123385733,0.21603333541969263,0.7721540862235626
