p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
0632.HK,中港石油,配售,实施完成,2025/01/17,2025/04/03,12048192.0000,1.431107,0.4150,5000000.0000,5000000.0000,"将新华发放的贷款项下之部分及合计本金额5,000,000港元部分清偿。",HKD,--,油气生产商,综合性石油与天然气企业,137823,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,中港石油
1601.HK,中关村科技租赁,配售,实施完成,2025/01/17,2025/07/04,281768000.0000,21.132589,1.8100,510000080.0000,507000000.0000,"公司拟将内资股认购事项所得款项净额(扣除相关成本及开支后)用于补充公司一般营运资金,以发展融资租赁业务。",HKD,--,信贷,特殊金融服务,137824,9,--,3000080.0000,--,--,--,--,--,--,--,中信建投国际,--,--,--,中关村科技租赁
1718.HK,宏基集团控股,供股,实施完成,2025/01/17,2025/05/08,40491810.0000,35.149140625,0.2000,8084500.0000,7522100.0000,"公司拟将供股所得款项净额用作集团的一般营运资金,特别是集团建筑分部的资金及总部的一般营运资金,使集团能够保留足以应付集团至少12个月营运资金的流动资金。",HKD,每持有1股股份可获发1股供股股份,重型基建,建筑与工程,24737,8,2025/05/12,562400.0000,贝塔国际证券有限公司,--,--,--,--,--,--,浤博资本有限公司,--,--,--,宏基集团控股
8189.HK,泰达生物,配售,实施完成,2025/01/16,2025/02/19,135900000.0000,6.693262,0.3750,50962500.0000,50609040.0000,"将用于购买基于人工智能的医疗健康软件平台,以及用于医疗健康软件平台的后续开发、医疗养老大健康业务的一般营运资金和潜在的投资机会。",HKD,--,化肥及农用化合物,化肥与农用药剂,137822,9,--,353460.0000,中泰国际证券有限公司,--,--,--,--,--,--,--,--,--,--,泰达生物
0572.HK,未来世界控股,配售,实施完成,2025/01/15,2025/02/21,23188310.0000,9.133176,0.6000,13912986.0000,13912986.0000,由认购人以抵销承兑票据项下同等未偿还金额的方式结算。,HKD,--,地产投资,酒店、度假村与豪华游轮,137820,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,未来世界控股
0632.HK,中港石油,配售,实施完成,2025/01/15,2025/02/05,15426000.0000,1.832329,0.3850,5900000.0000,5500000.0000,集团拟将(i)约50%或2.75百万港元用于集团位于美利坚合众国的油田的开发、营运及营运资金需求;及(ii)约50%或2.75百万港元用于集团其他业务营运及一般营运资金。,HKD,--,油气生产商,综合性石油与天然气企业,137819,9,--,400000.0000,国元证券经纪(香港)有限公司,--,--,--,--,--,--,--,--,--,--,中港石油
0689.HK,长盈集团(控股),配售,实施完成,2025/01/15,2025/02/12,952095000.0000,18.168559,0.0170,16185615.0000,15700000.0000,公司拟将配售所得款项净额用于以下用途(i)约20%用于加拿大石油资产以钻探新油井及进行增产工程;(ii)约10%作为一般营运资金;及(iii)约70%用于董事会认为符合公司利益之目前已识别及╱或不时展现的任何投资机会提供资金。,HKD,--,油气生产商,石油与天然气的勘探与生产,137818,9,--,485615.0000,港利资本有限公司,--,--,--,--,--,--,--,--,--,--,长盈集团(控股)
8316.HK,中国红包,配售,实施完成,2025/01/15,2025/03/04,45310000.0000,4.989725,0.2030,9197930.0000,9197930.0000,向认购人配发及发行认购股份即为对该部分债务的全部及最终清偿。,HKD,--,重型基建,建筑与工程,137817,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,中国红包
9669.HK,北森控股,代价发行,实施完成,2025/01/15,2026/02/11,34761638.0000,4.817323,4.0700,141479866.0000,--,向酷渲(北京)科技有限公司收购100%的全部已发行股份。,HKD,"境内控股公司已有条件同意购买而卖方已有条件同意出售目标公司全部股权,现金代价总额为人民币180,000,000元,同日,公司与换股卖方亦订立BVI股份认购协议及境外股份购买协议。根据该等协议,换股卖方将首先以总代价人民币127,583,905元(假设净现金代价不作调整)。",应用软件,互联网服务和基础设施,132169,10,--,--,--,--,--,--,--,--,--,--,--,--,--,北森控股
1129.HK,中国水业集团,配售,实施完成,2025/01/14,2025/01/28,106124518.0000,18.465368,0.3260,34596024.0000,33273930.0000,(i)约68.00百万港元(占所得款项净额约75%)用于偿还负债;(ii)约15.00百万港元(占所得款项净额约17%)用于投资生物质燃气项目;及(iii)约7.10百万港元(占所得款项净额约8%)用作集团一般营运资金(包括但不限于支付薪金、租赁开支、专业费用及╱或其他公司开支)。,HKD,--,水务,水公用事业,137816,9,--,1322094.0000,--,--,--,--,--,--,--,--,--,--,--,中国水业集团
