p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
8299.HK,大唐黄金,配售,实施完成,2025/09/23,2025/10/03,1038600000.0000,13.98185,0.2750,285615000.0000,274470000.0000,"公司拟将配售事项所得款项净额(i)约70%(即192.13百万港元)用于集团日后进行的收购事项;(ii)约5%(即13.72百万港元),用于履行集团于下列各项之出资义务(a)集团与西北大学(中国内地)及陕西地矿集团有限公司就中国内地潼关蒿岔峪甘斜凹及外围靶区的工程验证及资源储量增储所订立的两项合作协议(详情请参阅公司于二零二五年九月二十二日发布的公告),及(b)人工智能矿业有限公司(公司非全资附属公司),开展有色金属勘探、矿业开采流程及安全生产领域人工智能应用的开发及使用业务(详情请参阅公司于二零二五年六月二日发布的公告);(iii)约25%(即68.62百万港元)用于补充公司的营运资金及作一般公司用途。",HKD,--,黄金及贵金属,黄金,139451,9,--,11145000.0000,"第一上海证券有限公司,中银国际亚洲有限公司,富强证券有限公司",--,第一上海证券有限公司,--,--,--,--,--,--,--,--,大唐黄金
0673.HK,中国卫生集团,配售,预案,2025/09/22,--,--,--,--,--,--,--,HKD,"(a)约65,300,000港元用于偿付集团之应付款项,包括(i)约31,200,000港元用于偿付集团之判决债务;(ii)约15,500,000港元用于偿付集团之贷款(包括估计利息);(iii)约3,600,000港元用于结付集团之逾期雇员薪资;(iv)约5,100,000港元用于结付若干逾期专业费用(与认购事项及供股相关者除外);及(v)约9,900,000港元用于结付逾期董事薪酬;及(b)余额约15,600,000港元用作集团之营运资金。",医疗设备及用品,医疗保健设备,139446,9,--,--,--,--,--,--,--,--,--,--,--,--,--,中国卫生集团
1912.HK,康特隆,配售,实施完成,2025/09/22,2025/10/10,219620000.0000,19.999592,0.0650,14275300.0000,12830000.0000,(i)不少于10.00百万港元用于偿还集团债项;及(ii)余下款项用于公司的一般营运资金。,HKD,--,半导体,经销商,139447,9,--,1445300.0000,德林证券(香港)有限公司,--,--,--,--,--,--,--,--,--,--,康特隆
3788.HK,罕王黄金,配售,实施完成,2025/09/22,2025/09/29,75000000.0000,3.685504,3.1300,234750000.0000,231450000.0000,公司拟将认购事项所得款项净额与公司自有资金一同用于支持罕王黄金开发澳大利亚金矿项目。,HKD,--,钢铁,多种金属与采矿,139448,9,--,3300000.0000,--,--,--,--,--,--,--,--,--,--,--,罕王黄金
6928.HK,万马控股,配售,实施完成,2025/09/22,2025/10/09,82282841.0000,12.190051,0.1800,14810911.0000,14445210.0000,"(i)约22.5百万港元(占所得款项净额约57.0%)用于提升、扩展及发展汽车贸易业务;(ii)约10.2百万港元(占所得款项净额约25.8%)用于提升电子配件及内饰业务;(iii)约3.0百万港元(占所得款项净额约7.6%)用于支付因业务扩展而增加的营运成本,并预留作应付市场风险的备用金;及(iv)约3.8百万港元(占所得款项净额约9.5%)用于集团的一般营运资金,预期将于2026年3月前动用。",HKD,--,汽车零件,汽车零件与设备,139445,9,--,365701.0000,--,--,--,--,--,--,--,--,--,--,--,万马控股
8282.HK,智傲控股,供股,实施完成,2025/09/22,2025/11/17,19000000.0000,50.0,0.6000,11400000.0000,10400000.0000,"(i)约8.3百万港元(占所得款项净额约80.0%)将于供股完成后十二个月内用于支援现有业务人工智能强化之软件开发,涵盖人员开支、基础设施、第三方工具及其他杂项开支,旨在提升工作流程效率、软件可靠性及客户满意度。公司拟将约80.0%用于软件服务业务及约20.0%用于游戏业务;及(ii)约2.1百万港元(占所得款项净额约20.0%)将于供股完成后十二个月内用作集团之一般营运资金,其中约1.7百万港元用作支付专业费用及约0.4百万港元用作独立非执行董事薪酬。",HKD,每2股供1股,游戏软件,互动家庭娱乐,25956,8,2025/11/19,1000000.0000,--,创升证券有限公司,--,--,--,--,--,创升融资有限公司,--,--,--,智傲控股
8377.HK,维港育马,配售,实施完成,2025/09/22,2025/10/06,81800000.0000,19.993065,0.1000,8180000.0000,7900000.0000,(i)约7.3百万港元用于偿还集团现有借款、应付账款及其他应付款项;及(ii)约0.6百万港元用作集团的一般营运资金。,HKD,--,纺织品及布料,多领域控股,139449,9,--,280000.0000,美建证券有限公司,--,--,--,--,--,--,--,--,--,--,维港育马
2411.HK,百果园集团,配售,实施完成,2025/09/21,2025/10/09,279500000.0000,18.157162,1.1700,327015000.0000,325000000.0000,"(1)约61.5%,或200百万港元,将用于支付一般业务过程中的贸易应付款项;(2)约30.8%,或100百万港元,将用于偿还公司银行贷款;及(3)约7.7%,或25百万港元,将用作集团的一般营运资金及行政开支。",HKD,--,包装食品,食品零售,139443,9,--,2015000.0000,第一上海证券有限公司,--,第一上海证券有限公司,--,--,--,--,--,--,--,--,百果园集团
2429.HK,友宝在线,配售,实施完成,2025/09/21,2025/09/29,157500000.0000,18.942334,2.4500,385875000.0000,383180000.0000,"所得款项净额的约20.0%,或约76.64百万港元,用于开发基于专有知识产权的商品;约20.0%,或约76.64百万港元,用于支撑基于专有知识产权的商品的线下销售渠道扩张;约30.0%,或约114.95百万港元,用于购置固定资产,包括但不限于基于专有知识产权的商品预期销售而增设的自动售货机;约30.0%,即约114.95百万港元,用于营运资金及其他一般公司用途。",HKD,--,非酒精饮料,食品零售,139442,9,--,2695000.0000,麦格理资本股份有限公司,--,麦格理资本股份有限公司,--,--,--,--,--,--,--,--,友宝在线
1592.HK,基石控股,配售,实施完成,2025/09/19,2025/11/28,48259000.0000,1.999989,0.2500,12064750.0000,11780000.0000,(i)约50.0%(或约5.74百万港元)将用于偿还银行贷款;(ii)约25.0%(或约2.86百万港元)将用于偿付其他债务及应付款项;(iii)约25.0%(或约2.87百万港元)将用于集团的一般营运资金(包括支付员工成本及其他公司开支)。,HKD,--,建筑材料,建筑材料,139441,9,--,284750.0000,金利丰证券有限公司,--,--,--,--,--,--,--,--,--,--,基石控股
1679.HK,瑞斯康集团,配售,实施完成,2025/09/19,2025/10/21,81956000.0000,37.975322,0.5000,40975992.0000,40035331.0000,"(i)约100,580,000港元(占所得款项净额约80%)用于偿还集团的流动负债,特别是预期于完成后十二个月内到期应付的债务、负债或其他应付款项;及(ii)约25,150,000港元(占所得款项净额约20%)用于集团的一般企业及行政营运资金用途,主要包括(a)员工薪金开支约22,900,000港元;(b)租金开支约560,000港元;及(c)业务发展开支约430,000港元,全部用于支持集团持续业务活动。",HKD,--,应用软件,电子设备和仪器,139439,9,--,940661.0000,--,--,--,--,--,--,--,--,--,--,--,瑞斯康集团
6978.HK,永泰生物-B,供股,实施完成,2025/09/19,2025/11/12,102916800.0000,20.0,2.5000,257292000.0000,251880000.0000,(i)约54%用作EAL临床试验;(ii)约24%用作扩大EAL其他临床适应症的研发开支;及(iii)约22%用作集团一般营运资金。,HKD,每持有5股现有股份获发1股供股股份,生物技术,生物科技,25955,8,2025/11/14,5412000.0000,--,迈时资产管理有限公司,--,--,--,--,--,--,--,--,--,永泰生物-B
9936.HK,稀美资源,配售,实施完成,2025/09/19,2025/09/30,20000000.0000,5.555556,5.0000,100000000.0000,98500000.0000,"(i)约59.1百万港元用于采购钽矿及铌矿等原材料;及(ii)约39.4百万港元用于日常营运开支,包括但不限于支付员工薪酬及行政开支。",HKD,--,特殊化工用品,多种金属与采矿,139440,9,--,1500000.0000,迈时资产管理有限公司,--,--,--,--,--,--,--,--,--,--,稀美资源
1072.HK,东方电气,配售,实施完成,2025/09/18,2025/09/24,68000000.0000,2.005687,15.9200,1082560000.0000,1074840000.0000,(i)约50%配售事项所得款项净额用于研发注资;及(ii)约50%配售事项所得款项净额用于扩展公司销售渠道。,HKD,--,环保工程,重型电气设备,139435,9,--,7720000.0000,"中信里昂证券有限公司,国泰君安证券(香港)有限公司",--,--,--,--,--,--,--,--,--,--,东方电气
1676.HK,高地股份,配售,实施完成,2025/09/18,2025/10/09,30802000.0000,11.918855,0.4300,13244860.0000,12940000.0000,(i)约50%用于集团的现有食品业务;(ii)约40%用于集团的现有餐饮业务;及(iii)10%用作集团的一般营运资金。,HKD,--,包装食品,农产品与服务,139437,9,--,304860.0000,凯基证券亚洲有限公司,--,--,--,--,--,--,--,--,--,--,高地股份
2013.HK,微盟集团,配售,实施完成,2025/09/18,2025/10/21,172123000.0000,4.760186,2.2600,388997980.0000,388997980.0000,"(i)所得款项净额约30%(即466.58百万港元)将用于探索AI在SaaS中的整合及应用。公司计划升级其技术基础设施以提升计算能力及存储容量,从而支持更复杂及有效的AI运营;(ii)所得款项净额约30%(即466.58百万港元)将用于扩大媒体渠道及加强精准营销服务。公司拟招募及培训专业销售人员,以扩大其在抖音及小红书等平台的影响力,并成立专门的广告制作及投放团队,以提高创意及生产效率。此外,公司计划采购数据以进行多平台媒体运营,利用高质量数据深入了解用户行为、偏好及消费趋势,从而改善流量质素和转化效率;(iii)所得款项净额约10%(即155.55百万港元)将用于海外业务发展,主要包括但不限于投资拥有配套产品及AI模式的公司、招聘及培养具经验的人才以拓展海外市场、租赁办公空间,并支付新设立的销售办事处之行政费用;及(iv)所得款项净额约30%(即466.58百万港元)将拨作补充营运资金及一般企业用途。",HKD,--,应用软件,互动媒体与服务,139434,9,--,0.0000,"中信里昂证券有限公司,国泰君安证券(香港)有限公司",--,--,--,--,--,--,光源资本(香港)金融有限公司,--,--,--,微盟集团
2013.HK,微盟集团,配售,实施完成,2025/09/18,2026/02/04,172123000.0000,4.760186,2.2600,388997980.0000,388997980.0000,"(i)所得款项净额约30%(即466.58百万港元)将用于探索AI在SaaS中的整合及应用。公司计划升级其技术基础设施以提升计算能力及存储容量,从而支持更复杂及有效的AI运营;(ii)所得款项净额约30%(即466.58百万港元)将用于扩大媒体渠道及加强精准营销服务。公司拟招募及培训专业销售人员,以扩大其在抖音及小红书等平台的影响力,并成立专门的广告制作及投放团队,以提高创意及生产效率。此外,公司计划采购数据以进行多平台媒体运营,利用高质量数据深入了解用户行为、偏好及消费趋势,从而改善流量质素和转化效率;(iii)所得款项净额约10%(即155.55百万港元)将用于海外业务发展,主要包括但不限于投资拥有配套产品及AI模式的公司、招聘及培养具经验的人才以拓展海外市场、租赁办公空间,并支付新设立的销售办事处之行政费用;及(iv)所得款项净额约30%(即466.58百万港元)将拨作补充营运资金及一般企业用途。",HKD,--,应用软件,互动媒体与服务,139547,9,--,0.0000,"中信里昂证券有限公司,国泰君安证券(香港)有限公司",--,--,--,--,--,--,光源资本(香港)金融有限公司,--,--,--,微盟集团
2013.HK,微盟集团,配售,实施终止,2025/09/18,2026/03/30,--,--,--,--,--,"(i)所得款项净额约30%(即466.58百万港元)将用于探索AI在SaaS中的整合及应用。公司计划升级其技术基础设施以提升计算能力及存储容量,从而支持更复杂及有效的AI运营;(ii)所得款项净额约30%(即466.58百万港元)将用于扩大媒体渠道及加强精准营销服务。公司拟招募及培训专业销售人员,以扩大其在抖音及小红书等平台的影响力,并成立专门的广告制作及投放团队,以提高创意及生产效率。此外,公司计划采购数据以进行多平台媒体运营,利用高质量数据深入了解用户行为、偏好及消费趋势,从而改善流量质素和转化效率;(iii)所得款项净额约10%(即155.55百万港元)将用于海外业务发展,主要包括但不限于投资拥有配套产品及AI模式的公司、招聘及培养具经验的人才以拓展海外市场、租赁办公空间,并支付新设立的销售办事处之行政费用;及(iv)所得款项净额约30%(即466.58百万港元)将拨作补充营运资金及一般企业用途。",HKD,"诚如该等公告所披露,认购方须于最后截止日期(即2026年4月12日)前至少十个营业日通知公司第二B批认购事项指定人士的身份。于本公告日期,距离最后截止日期不足十个营业日,且公司尚未收到认购人发出的任何完成通知或有关指定人士身份的通知。因此,第二B批认购事项将不会进行。",应用软件,互动媒体与服务,139821,9,--,--,--,--,--,--,--,--,--,--,--,--,--,微盟集团
2013.HK,微盟集团,配售,实施完成,2025/09/18,2025/11/06,172124000.0000,4.760214,2.2600,389000240.0000,389000240.0000,"(i)所得款项净额约30%(即466.58百万港元)将用于探索AI在SaaS中的整合及应用。公司计划升级其技术基础设施以提升计算能力及存储容量,从而支持更复杂及有效的AI运营;(ii)所得款项净额约30%(即466.58百万港元)将用于扩大媒体渠道及加强精准营销服务。公司拟招募及培训专业销售人员,以扩大其在抖音及小红书等平台的影响力,并成立专门的广告制作及投放团队,以提高创意及生产效率。此外,公司计划采购数据以进行多平台媒体运营,利用高质量数据深入了解用户行为、偏好及消费趋势,从而改善流量质素和转化效率;(iii)所得款项净额约10%(即155.55百万港元)将用于海外业务发展,主要包括但不限于投资拥有配套产品及AI模式的公司、招聘及培养具经验的人才以拓展海外市场、租赁办公空间,并支付新设立的销售办事处之行政费用;及(iv)所得款项净额约30%(即466.58百万港元)将拨作补充营运资金及一般企业用途。",HKD,--,应用软件,互动媒体与服务,139527,9,--,0.0000,"中信里昂证券有限公司,国泰君安证券(香港)有限公司",--,--,--,--,--,--,光源资本(香港)金融有限公司,--,--,--,微盟集团
1341.HK,昊天国际建投,代价发行,实施完成,2025/09/17,2025/10/22,1600000000.0000,17.304494,0.2500,400000000.0000,--,"向Planetree (BVI) Capital Limited认购1,600,000,000股股份。",HKD,--,重型机械,建筑机械和重型运输设备,134068,10,--,--,--,--,--,--,--,--,--,--,--,--,--,昊天国际建投
2582.HK,国富氢能,配售,实施完成,2025/09/17,2025/09/29,1994800.0000,1.638269,50.1300,99999324.0000,98490000.0000,"(i)约72%用作营运资金及一般公司用途,以支持集团的业务营运及增长,包括但不限于:(a)支付薪金、社会保险供款、住房公积金及其他雇员相关开支;(b)支付供应商及服务供应商款项;及(c)其他营运开支;(ii)约20%用于偿还现有信贷融资项下的未偿还款项;及(iii)约8%用于中国及海外氢能项目之融资投资及合作。",HKD,--,工业零件及器材,电气部件与设备,139431,9,--,1509324.0000,大湾区深港证券有限公司,--,--,--,--,--,--,--,--,--,--,国富氢能
8029.HK,中投金融科技集团,配售,实施完成,2025/09/17,2025/10/09,46680000.0000,19.999861,0.5400,25207200.0000,24600000.0000,"约800,000港元将应用于支付法律及专业费用。预计将合共3,800,000港元应用于进行加密资产投资。约6,000,000港元将应用于金融服务的进一步发展(包括但不限于提升证监会牌照)。约14,000,000港元将应用于营运资金及一般企业用途,包括但不限于结清待偿审计及其他专业及行政开支。",HKD,--,其他金融,综合金融服务,139430,9,--,607200.0000,宏智证券(香港)有限公司,--,--,--,--,--,--,--,--,--,--,中投金融科技集团
0376.HK,云锋金融,配售,实施完成,2025/09/16,2025/09/23,191300000.0000,--,6.1000,1166930000.0000,1150000000.0000,"(i)约70%用作系统设施升级开支、人才招聘及相关资本金需求,包括但不限于推出全面的虚拟资产交易服务及虚拟资产相关投资管理服务;及(ii)约30%用作一般营运资金,以支付集团日常业务过程中产生的开支。",HKD,--,保险,保险经纪商,139427,9,--,16930000.0000,"花旗环球金融有限公司,瑞银集团香港分行",--,"花旗环球金融有限公司,瑞银集团香港分行",--,--,--,--,--,--,--,--,云锋金融
1662.HK,义合控股,配售,实施完成,2025/09/16,2025/09/30,15000000.0000,3.0,2.3500,35250000.0000,34970000.0000,"(i)约港币15,000,000元将用作在认购事项于2025年10月左右完成后支付认购事项之代价及有关认购事项的开支;(ii)约港币17,000,000元将用作为目标公司业务融资及发展,包括(但不限于)为租赁高性能GPU伺服器及附带硬件及有关其GPU及AI相关云端服务的间接成本融资,估计其于未来18个月总计每月约港币1.8百万元。预期该部分所得款项净额将会于2027年3月前动用;及(iii)配售事项所得款项净额之余款将用作软件开发及提升、AI及机器学习的研究和开发,并将AI动力运算融入集团的业务模式以提供更多增值服务,并探索新收入来源。软件开发及提升包括改善现有软件、加入创新功能以及确保跨平台运算能力。预期该部分所得款项净额将会于2026年12月前动用。",HKD,--,重型基建,建筑与工程,139428,9,--,280000.0000,力高证券有限公司,--,--,--,--,--,--,--,--,--,--,义合控股
3800.HK,协鑫科技,配售,实施完成,2025/09/16,2025/11/07,1353043000.0000,4.750717,1.1500,1555999450.0000,1555999450.0000,"(i)65%主要用于三个方面首先,用于供给侧改革的资金储备,推进多晶硅产能结构性调整;其次,强化第二曲线,以全球第一的硅烷气产能和产量,完成海外替代,在半导体集成电路对电子特气需求的提升、TOPCon电池向太阳能BC电池转型对硅烷需求的放量,锂电行业固态、半固态电池对硅烷的应用需求以及显示面板对硅烷气品质的高要求的多重背景下,以硅烷气打造协鑫新增长极;第三,优化公司资本结构;及(ii)35%用于一般营运资金用途及偿还现有贷款。",HKD,--,新能源物料,半导体产品,139495,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,协鑫科技
3800.HK,协鑫科技,配售,实施完成,2025/09/16,2025/10/08,1014782000.0000,3.563037,1.1500,1166999589.0000,1155428165.0000,"(i)65%主要用于三个方面首先,用于供给侧改革的资金储备,推进多晶硅产能结构性调整;其次,强化第二曲线,以全球第一的硅烷气产能和产量,完成海外替代,在半导体集成电路对电子特气需求的提升、TOPCon电池向太阳能BC电池转型对硅烷需求的放量,锂电行业固态、半固态电池对硅烷的应用需求以及显示面板对硅烷气品质的高要求的多重背景下,以硅烷气打造协鑫新增长极;第三,优化公司资本结构;及(ii)35%用于一般营运资金用途及偿还现有贷款。",HKD,--,新能源物料,半导体产品,139426,9,--,11571424.0000,海通国际证券有限公司,--,海通国际证券有限公司,--,--,--,--,--,--,--,--,协鑫科技
3800.HK,协鑫科技,配售,实施完成,2025/09/16,2025/11/19,1353043000.0000,4.750717,1.1500,1555999450.0000,1555999450.0000,"(i)65%主要用于三个方面首先,用于供给侧改革的资金储备,推进多晶硅产能结构性调整;其次,强化第二曲线,以全球第一的硅烷气产能和产量,完成海外替代,在半导体集成电路对电子特气需求的提升、TOPCon电池向太阳能BC电池转型对硅烷需求的放量,锂电行业固态、半固态电池对硅烷的应用需求以及显示面板对硅烷气品质的高要求的多重背景下,以硅烷气打造协鑫新增长极;第三,优化公司资本结构;及(ii)35%用于一般营运资金用途及偿还现有贷款。",HKD,--,新能源物料,半导体产品,139551,9,--,0.0000,海通国际证券有限公司,--,海通国际证券有限公司,--,--,--,--,--,--,--,--,协鑫科技
3800.HK,协鑫科技,配售,实施完成,2025/09/16,2025/10/10,1014783000.0000,3.56304,1.1500,1167000450.0000,1155429017.0000,"(i)65%主要用于三个方面首先,用于供给侧改革的资金储备,推进多晶硅产能结构性调整;其次,强化第二曲线,以全球第一的硅烷气产能和产量,完成海外替代,在半导体集成电路对电子特气需求的提升、TOPCon电池向太阳能BC电池转型对硅烷需求的放量,锂电行业固态、半固态电池对硅烷的应用需求以及显示面板对硅烷气品质的高要求的多重背景下,以硅烷气打造协鑫新增长极;第三,优化公司资本结构;及(ii)35%用于一般营运资金用途及偿还现有贷款。",HKD,--,新能源物料,半导体产品,139490,9,--,11571433.0000,--,--,--,--,--,--,--,--,--,--,--,协鑫科技
8093.HK,瓦普思瑞元宇宙,配售,实施完成,2025/09/16,2025/11/04,8246400.0000,1.0,1.6000,13194240.0000,12800000.0000,(i)用于偿还借贷及(ii)用作集团之一般营运资金及业务拓展。,HKD,--,互动媒体及服务,互动媒体与服务,139425,9,--,394240.0000,--,--,--,--,--,--,--,--,--,--,--,瓦普思瑞元宇宙
8365.HK,亦辰集团,配售,实施完成,2025/09/16,2026/01/05,9480000.0000,--,1.2000,11376000.0000,11276000.0000,用于一般企业用途。,HKD,"认购完成后,六名个人投资者的股份由0股增加到9,480,000股。",其他金融,投资银行业与经纪业,139436,9,--,100000.0000,--,--,--,--,--,--,--,--,--,--,--,亦辰集团
0653.HK,卓悦控股,配售,实施完成,2025/09/15,2025/10/06,281300000.0000,15.72494,0.0800,22504000.0000,22137192.0000,"(i)约20百万港元将用于偿还二零二五年九月期间到期之债务,包括公司金额为15百万港元按9%年息计之债券及向金融机构取得之5百万港元按23.4%年息计之贷款;及(ii)约10百万港元将用于升级其现有的跨境电子商务平台香港猫HKMALL;(iii)约7百万港元将用于对强化集团的产品批发业务模式进行投资,涵盖保税仓储、O2O(线上到线下)商务的战略性合作伙伴关系以及提升供应链营运;及(iv)约6百万港元将用作集团的一般营运资金。",HKD,--,线上零售商,其他专卖店,139486,9,--,366808.0000,--,--,--,--,--,--,--,--,--,--,--,卓悦控股
0899.HK,中加国信,供股,实施完成,2025/09/15,2026/01/08,167352542.0000,112.7816391396,0.1460,24433471.0000,22979259.0000,"(i)约14.58%之所得款项净额或约600万港元,用于增强集团一般营运资金,涵盖公司香港办事处未来十二个月之员工成本、专业费用、租金支付及其他一般行政及营运开支;(ii)约58.70%之所得款项净额或约24,160万港元,用于偿还部分贸易应付款及其他应付款,包括上述未清金额;(iii)约17.00%之所得款项净额或约700万港元,用于投资新项目以拓宽水务业务收入来源,目标为增强大众市场渗透及B2B再分销;及(iv)约9.72%之所得款项净额或约400万港元,用于采矿业务之维护及取得许可证。",HKD,每持有1股现有股份获发2股供股股份,地产发展商,多样化房地产投资信托,25954,8,2026/01/12,1454212.0000,元库证券有限公司,--,--,--,--,--,--,--,--,--,--,中加国信
1228.HK,北海康成-B,配售,实施完成,2025/09/15,2025/09/28,9996196.0000,1.955352,2.2600,22591403.0000,22091403.0000,所得款项净额用于(i)现有产品线的研发开支;及(ii)集团日常营运。,HKD,--,生物技术,制药,139423,9,--,500000.0000,--,--,--,--,--,--,--,--,--,--,--,北海康成-B
8367.HK,倩碧控股,配售,实施完成,2025/09/15,2025/10/05,13800000.0000,19.985522,0.1800,2484000.0000,2430000.0000,用作集团一般营运资金。,HKD,--,餐饮,餐馆,139420,9,--,54000.0000,圣衡金融控股有限公司,--,--,--,--,--,--,--,--,--,--,倩碧控股
0875.HK,从玉智农,配售,实施完成,2025/09/12,2025/10/02,91021689.0000,16.666667,0.2900,26396290.0000,25900000.0000,"(i)约15,000,000港元(即所得款项净额约57.9%)用于偿还贷款;(ii)约8,000,000港元(即所得款项净额约30.9%)用于发展农业垂直电商平台及农业低空经济;及(iii)约2,900,000港元(即所得款项净额约11.2%)用于集团一般营运资金。",HKD,--,农产品,农产品与服务,139418,9,--,496290.0000,Funderstone Securities Limited,--,--,--,--,--,--,--,--,--,--,从玉智农
3709.HK,赢家时尚,配售,实施完成,2025/09/12,2025/10/15,4600000.0000,0.653363,6.5000,29900000.0000,29600000.0000,拟将认购事项所得款项净额用作一般营运资金。,HKD,--,服装,服装零售,139419,9,--,300000.0000,--,--,--,--,--,--,--,--,--,--,--,赢家时尚
0209.HK,瀛晟科学,配售,实施完成,2025/09/11,2025/09/19,30951496.0000,20.0,0.3500,10833024.0000,10320000.0000,"(i)约50%拟用作偿还贷款,及(ii)约50%拟用作集团营运资金及一般企业用途。",HKD,--,玩具及消闲用品,休闲用品,139416,9,--,513024.0000,Imagi Brokerage Limited,--,--,--,--,--,--,--,--,--,--,瀛晟科学
0048.HK,中国汽车内饰,供股,实施完成,2025/09/10,2025/12/30,114759630.0000,65.5338273962,0.1300,14918752.0000,13984000.0000,(i)所得款项净额约95.31%或约30.5百万港元(相当于约人民币28.0百万元)用于为中国生产线购置物业、厂房及机器;及(ii)所得款项净额剩余约4.69%或约1.5百万港元用作集团的一般营运资金。,HKD,每持有2股现有股份获发3股供股股份,汽车零件,纺织品,25953,8,2025/12/31,934752.0000,阿仕特朗资本管理有限公司,阿仕特朗资本管理有限公司,--,--,--,--,--,--,--,--,--,中国汽车内饰
2105.HK,来凯医药-B,配售,实施完成,2025/09/10,2025/09/17,36000000.0000,8.770512,16.3000,586800000.0000,577510000.0000,本次配售事项所得款项净额将用于:(i)约90%(即约519.75百万港元)用于临床及临床前管线项目的研发;及(ii)约10%(即约57.75百万港元)用于一般及企业用途。,HKD,--,生物技术,生物科技,139410,9,--,9290000.0000,Merrill Lynch (Asia Pacific) Limited,--,--,--,--,--,--,--,--,--,--,来凯医药-B
6628.HK,创胜集团医药-B,配售,实施完成,2025/09/10,2025/09/17,14400000.0000,3.29161,4.3300,62352000.0000,59340000.0000,"公司拟将认购事项所得款项净额按下列方式动用:(i)40%,约23.74百万港元,用于TST001及TST002等管线资产的临床开发;(ii)30%,约17.80百万港元,用于推进最具前景且具有近期对外许可潜力的临床前阶段管线资产,包括TST801、TST013及TST786等;及(iii)30%,约17.80百万港元,将用于营运资金及一般用途,从而提高公司的财务稳健性,包括但不限于一般业务运营及业务发展等。",HKD,--,生物技术,制药,139411,9,--,3012000.0000,中银国际亚洲有限公司,--,中银国际亚洲有限公司,--,--,--,--,--,--,--,--,创胜集团医药-B
9866.HK,蔚来-SW,配售,实施完成,2025/09/10,2025/09/17,181818190.0000,8.028707,43.3600,7883636718.0000,7883636718.0000,公司目前计划将股权发行所得款项净额用于投资智能电动汽车核心技术的研发、开发旗下品牌的未来技术平台及车型、扩大充换电网络、进一步强化其资产负债表及用于一般企业用途。,HKD,--,汽车,汽车制造商,139754,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,蔚来-SW
1850.HK,鸿盛昌资源,配售,实施完成,2025/09/09,2025/09/24,104009674.0000,60.190784,0.5300,55125127.0000,52516458.0000,"(i)约59.33百万港元(占所得款项净额约85%)用以支援集团的项目,当中约52.35百万港元用于向现有项目的承建商付款、约1.75百万港元用作在未来潜在项目开展前预付分包商及/或供应商的费用,而约5.23百万港元用作未来潜在项目的初始启动成本;及(ii)约10.47百万港元(占所得款项净额约15%)用作集团一般营运资金,当中约8.38百万港元用作员工成本,而约2.09百万港元用作其他办公室管理费用。",HKD,--,楼宇建造,安全和报警服务,139408,9,--,2608669.0000,--,--,--,--,--,--,--,--,--,--,--,鸿盛昌资源
6610.HK,飞天云动,配售,实施完成,2025/09/09,2025/09/30,433429200.0000,19.989098,0.1740,75416681.0000,74530000.0000,"(i)所得款项净额约60%或约44.72百万元将分配用于从媒体平台或其授权代理获取广告流量,旨在加强集团在境内外市场的AR/VR营销服务;(ii)所得款项净额约30%或约22.36百万港元将用于增强集团的研发能力以及改进其服务及产品组合。有关分配将支持以下举措:(a)开发及优化集团的算法及数据分析能力;(b)升级和迭代数字人平台、元空间平台及VR引擎;(c)提升运营能力;(d)开发人工智能(AI)、动作捕捉技术、VR大空间、扩展现实(XR)及其他相关内容;及(e)外包研发开支;(iii)剩余所得款项净额约10%或约7.45百万港元将分配作一般营运资金用途,包括但不限于支付员工成本、租金、法律及专业费用以及其他行政开支。",HKD,--,应用软件,信息科技咨询与其它服务,139409,9,--,886681.0000,中国北方证券集团有限公司,--,--,--,--,--,--,--,--,--,--,飞天云动
0471.HK,中播数据,配售,实施完成,2025/09/08,2025/09/18,19063898.0000,18.898229,0.6000,11438339.0000,11300000.0000,"公司拟将所得款项净额用作集团的一般营运资金,预期将用于以下用途:(i)约400万港元用于支付专业费用;(ii)约300万港元用于增强贸易业务的现金流;及(iii)约430万港元用于支付员工薪金、办公室租金、水电费及其他营运开支,预计将于2025年12月前悉数动用。",HKD,--,卫星及无线通讯,电子元件,139406,9,--,138339.0000,--,--,--,--,--,--,--,--,--,--,--,中播数据
1355.HK,生物系统工程,配售,实施完成,2025/09/08,2025/09/25,198840000.0000,19.999494,0.0630,12526920.0000,12370000.0000,将用于集团医疗保健及美容业务的进一步发展。,HKD,--,酒店及度假村,酒店、度假村与豪华游轮,139405,9,--,156920.0000,昌利证券有限公司,--,--,--,--,--,--,--,--,--,--,生物系统工程
