stock_code,company_name,delisting_date,delisting_reason,is_acquired
1649.HK,内蒙古能建,2021/09/08,私有化,1
2662.HK,美好发展,2021/09/02,被取消上市地位,0
8108.HK,福泽集团,2021/08/27,被取消上市地位,0
0281.HK,川河集团,2021/08/23,私有化,1
8171.HK,中国趋势,2021/08/23,被取消上市地位,0
2606.HK,蓝光嘉宝服务,2021/08/20,私有化,1
0024.HK,宝威控股,2021/08/13,被取消上市地位,0
0364.HK,区块链集团,2021/08/10,被取消上市地位,0
1829.HK,中国机械工程,2021/08/06,私有化,1
0172.HK,金榜集团,2021/08/02,被取消上市地位,0
2123.HK,金盾控股,2021/08/02,被取消上市地位,0
2898_1.HK,龙润茶,2021/07/21,被取消上市地位,0
8272.HK,华人饮食集团,2021/07/13,被取消上市地位,0
8202.HK,汇创控股,2021/07/13,被取消上市地位,0
3663.HK,协众国际控股,2021/07/08,私有化,1
0699_2.HK,神州租车,2021/07/08,私有化,1
1743.HK,苍南仪表,2021/07/05,私有化,1
1492.HK,中地乳业,2021/06/28,私有化,1
0908.HK,珠海控股投资,2021/06/18,私有化,1
0190.HK,香港建设(控股),2021/06/09,私有化,1
0850.HK,久康国际,2021/05/28,被取消上市地位,0
0208.HK,保利达资产,2021/05/26,私有化,1
1158.HK,开元酒店,2021/05/24,私有化,1
2176.HK,赛迪顾问,2021/05/14,转板,0
0555.HK,御泰中彩控股,2021/05/10,被取消上市地位,0
1019.HK,康宏环球,2021/05/04,被取消上市地位,0
0999_1.HK,I.T,2021/04/30,私有化,1
0666_1.HK,新工投资,2021/04/23,私有化,1
8192.HK,环球通证,2021/04/20,被取消上市地位,0
2300.HK,澳科控股,2021/04/20,私有化,1
1806.HK,汇付天下,2021/03/29,私有化,1
1509.HK,和美医疗,2021/03/25,被取消上市地位,0
2268_1.HK,优源控股,2021/03/22,被取消上市地位,0
1462.HK,金诚控股,2021/03/16,被取消上市地位,0
8090.HK,中国融保金融集团,2021/03/12,被取消上市地位,0
1190.HK,航标控股,2021/03/10,被取消上市地位,0
1249.HK,通力电子,2021/03/09,私有化,1
1353.HK,诺奇,2021/02/08,被取消上市地位,0
0275.HK,凯华集团,2021/02/08,被取消上市地位,0
2303.HK,恒兴黄金,2021/02/02,私有化,1
8165.HK,华普智通,2021/01/29,被取消上市地位,0
1998.HK,飞克国际,2021/01/29,被取消上市地位,0
0445.HK,中集天达,2021/01/26,私有化,1
2010.HK,瑞年国际,2021/01/26,被取消上市地位,0
2345.HK,上海集优,2021/01/20,私有化,1
1886.HK,汇源果汁,2021/01/18,被取消上市地位,0
8346.HK,创新电子控股,2021/01/13,私有化,1
8236.HK,宝德科技集团,2020/12/30,私有化,1
1089.HK,乐游科技控股,2020/12/24,私有化,1
8190.HK,康佰控股,2020/12/24,被取消上市地位,0
1169.HK,海尔电器,2020/12/23,私有化,1
0587_1.HK,华瀚健康,2020/12/16,被取消上市地位,0
8256.HK,金利通,2020/12/15,被取消上市地位,0
0198.HK,星美控股,2020/12/14,被取消上市地位,0
1481.HK,竣球控股,2020/12/11,转板,0
1369.HK,五洲国际,2020/12/08,被取消上市地位,0
1659.HK,海天能源,2020/12/07,被取消上市地位,0
1006.HK,长寿花食品,2020/12/07,私有化,1
1155.HK,星辰通信,2020/12/01,被取消上市地位,0
3335.HK,DBA电讯,2020/11/30,被取消上市地位,0
8207.HK,中新控股,2020/11/30,被取消上市地位,0
0056.HK,联合地产(香港),2020/11/27,私有化,1
1990.HK,兴华港口,2020/11/20,私有化,1
1219.HK,天喔国际,2020/11/13,被取消上市地位,0
2277.HK,华融投资股份,2020/11/13,私有化,1
9963.HK,高科桥,2020/11/05,转板,0
1698_1.HK,博士蛙国际,2020/11/03,被取消上市地位,0
8230.HK,中国宇天,2020/10/29,被取消上市地位,0
0469.HK,凯普松国际,2020/10/27,私有化,1
0015.HK,盈信控股,2020/10/22,私有化,1
0221.HK,易易壹金融,2020/10/21,私有化,1
0801.HK,金卫医疗,2020/10/21,私有化,1
0877.HK,昂纳科技集团,2020/10/20,私有化,1
0933_1.HK,光汇石油,2020/10/20,被取消上市地位,0
1322.HK,创达科技控股,2020/10/12,被取消上市地位,0
2102.HK,德利机械,2020/10/06,转板,0
6139.HK,金茂酒店-SS,2020/10/05,私有化,1
0816_1.HK,华电福新,2020/09/29,私有化,1
1151.HK,依利安达,2020/09/25,私有化,1
8085.HK,香港生命科学,2020/09/14,被取消上市地位,0
3966.HK,中国宝丰国际,2020/09/08,私有化,1
0402.HK,天下图控股,2020/08/03,被取消上市地位,0
0020_1.HK,会德丰,2020/07/27,私有化,1
8105.HK,皇岦,2020/07/24,私有化,1
8212.HK,誉满国际控股,2020/07/08,被取消上市地位,0
1318_1.HK,格菱控股,2020/07/06,被取消上市地位,0
1619.HK,天合化工,2020/06/11,被取消上市地位,0
6812.HK,永顺控股香港,2020/06/11,转板,0
1035.HK,BBI生命科学,2020/06/09,私有化,1
1228_2.HK,奇峰国际,2020/06/04,被取消上市地位,0
9978.HK,方圆生活服务,2020/05/28,转板,0
0494.HK,利丰,2020/05/28,私有化,1
8243.HK,大贺传媒,2020/05/25,被取消上市地位,0
0647.HK,Joyce Boutique,2020/04/27,私有化,1
1162.HK,莹岚集团,2020/04/20,转板,0
0161.HK,中航国际控股,2020/04/17,私有化,1
0246.HK,瑞金矿业,2020/04/02,被取消上市地位,0
2121_1.HK,一化控股,2020/03/23,被取消上市地位,0
0606_2.HK,中国粮油控股,2020/03/23,私有化,1
2200.HK,浩沙国际,2020/03/23,被取消上市地位,0
1657.HK,桦欣控股,2020/03/20,转板,0
3991.HK,长虹佳华,2020/03/18,转板,0
8197.HK,北斗嘉药业,2020/03/18,被取消上市地位,0
1700.HK,华地国际控股,2020/03/03,私有化,1
3823.HK,德普科技,2020/03/02,被取消上市地位,0
0958.HK,华能新能源,2020/02/25,私有化,1
2889_1.HK,镍资源国际,2020/02/14,被取消上市地位,0
1021_1.HK,麦达斯控股─S,2020/02/05,被取消上市地位,0
0705.HK,鼎和矿业,2020/02/05,被取消上市地位,0
0940.HK,中国动物保健品,2020/01/30,被取消上市地位,0
0233.HK,铭源医疗,2020/01/23,被取消上市地位,0
1828_11.HK,大昌行集团,2020/01/10,私有化,1
0404.HK,新昌集团控股,2019/12/31,被取消上市地位,0
8182.HK,中国糖果,2019/12/31,被取消上市地位,0
9900.HK,智云科技建设,2019/12/30,转板,0
1048.HK,煜新控股,2019/12/27,被取消上市地位,0
1410.HK,安领国际,2019/12/24,转板,0
6863.HK,辉山乳业,2019/12/23,被取消上市地位,0
6928.HK,万马控股,2019/12/23,转板,0
1529.HK,乐氏国际控股,2019/12/19,转板,0
1402.HK,超智能控股,2019/12/18,转板,0
6966.HK,中国万桐园,2019/12/17,转板,0
3860.HK,EPS创健科技,2019/12/12,转板,0
0692.HK,神舟乐园,2019/12/10,被取消上市地位,0
1819.HK,富贵鸟,2019/11/25,被取消上市地位,0
1236_1.HK,国农控股,2019/11/22,被取消上市地位,0
1792.HK,CMON,2019/11/19,转板,0
0903.HK,冠捷科技,2019/11/15,私有化,1
6908.HK,宏光半导体,2019/11/13,转板,0
0121.HK,卜蜂莲花,2019/10/29,私有化,1
0569.HK,中国自动化,2019/10/29,私有化,1
6069.HK,盛业,2019/10/24,转板,0
2229.HK,长港敦信,2019/10/16,被取消上市地位,0
1174.HK,太平洋恩利,2019/09/26,被取消上市地位,0
1732.HK,象兴国际,2019/09/06,转板,0
1135.HK,亚洲卫星,2019/09/05,私有化,1
8273.HK,浙江展望,2019/09/02,被取消上市地位,0
0647_1.HK,Joyce Boutique,2019/08/27,私有化,1
0300_1.HK,昆明机床,2019/08/26,被取消上市地位,0
0735.HK,中国电力清洁能源,2019/08/21,私有化,1
8306.HK,中国有色金属,2019/08/16,被取消上市地位,0
1915.HK,泰和小贷,2019/07/17,转板,0
8312.HK,睿锋集团,2019/07/09,被取消上市地位,0
1197.HK,中国恒石,2019/07/05,私有化,1
8046.HK,恒芯中国,2019/07/02,被取消上市地位,0
1909.HK,火岩控股,2019/06/27,转板,0
0835.HK,亚洲煤业,2019/06/18,被取消上市地位,0
0566.HK,汉能薄膜发电,2019/06/11,私有化,1
1867.HK,标准发展集团,2019/05/09,转板,0
0054.HK,合和实业,2019/05/03,私有化,1
8129.HK,云信投资控股,2019/03/26,被取消上市地位,0
1854.HK,中国万天控股,2019/03/21,转板,0
0909_1.HK,中大国际,2019/03/08,被取消上市地位,0
