jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
8031_1.HK,健诺国际生化科技,健诺国际生化科技药业有限公司,Kinetana Internatinal Biotech Pharma Limited,2006/09/01,2002/06/03,被取消上市地位,--,"该公司股份由2005年4月19日起停牌。于2006年2月13日,联交所宣布拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2006年8月12日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救;而该公司须于六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。鉴于该公司未能按有关要求提交可行的复牌建议,故此联交所将取消该公司股份的上市地位。",开曼群岛,香港新界沙田生物科技路2号香港生物科技研究院112室,--,--
8036_1.HK,流动广告,流动广告有限公司,M Channel Corporation Limited,2006/08/11,2000/07/28,被取消上市地位,--,"该公司股份由2005年4月28日起停牌。于2006年1月25日,该公司宣布联交所拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2006年7月12日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救;而该公司须于六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。鉴于该公司未能按有关要求提交可行的复牌建议,故此联交所将取消该公司股份的上市地位。",百慕大,香港湾仔骆克道33号汇汉大厦26楼,--,--
0708_1.HK,大众食品,大众食品控股有限公司,People's Food Holdings Limited,2006/08/09,2002/10/28,私有化,--,"公司的主要业务是在中国生产和销售‘金锣’牌肉制品,销售渠道包括公司的经销商分销网络、销售团队、销售门市和专卖店。董事们经过认真研究,认为拟撤销上市的主要原因如下:(a)股份在联交所的交易量一直比在新加坡证交所的交易量低。自股份于2002年10月在联交所上市以来,总交易量的90%以上发生在新加坡证交所;和(b)自股份在联交所上市以来,公司未从香港资本市场筹集过任何资金。而且,公司在可预见的将来不会从香港资本市场融资。因而,鉴于上述原因,董事们认为维持在联交所双重上市的费用没有合理的财务理由。",百慕大,中华人民共和国山东省临沂市半程镇,--,--
0712_1.HK,华润水泥控股,华润建材科技控股有限公司,China Resources Building Materials Technology Holdings Limited,2006/07/26,2003/07/29,私有化,--,--,开曼群岛,香港湾仔港湾道26号华润大厦3001-05室,--,--
8289.HK,安瑞科控股,安瑞科能源装备控股有限公司,Enric Energy Equipment Holdings Limited,2006/07/20,2005/10/18,--,--,--,开曼群岛,中国河北省廊坊经济技术开发区鸿润道30号,--,--
0916_1.HK,富昌国际,富昌国际控股有限公司,Fu Cheong International Holdings Limited,2006/06/28,2002/03/27,被取消上市地位,--,"公司于二零零五年十二月八日已步入除牌程序第三阶段。根据除牌程序,若于第三阶段结束时(就公司而言为二零零六年六月七日(‘限期’)),联交所仍未收到恢复公司股份买卖之有效复牌建议,公司股份将会被取消上市地位。截至限期届满时,公司仍未向联交所提交任何恢复买卖之有效复牌建议,因此,公司股份将按照除牌程序取消上市地位。",开曼群岛,香港新界荃湾德士古道166-176号德丰工业中心2座5楼4室,--,--
0930_1.HK,亚洲铝业,亚洲铝业集团有限公司,Asia Aluminum Holdings Limited,2006/05/24,--,私有化,--,--,百慕大,香港九龙尖沙咀漆咸道南39号铁路大厦12楼,--,--
8263.HK,速达软件,速达软件控股有限公司,Superdata Software Holdings Limited,2006/05/18,2003/06/06,私有化,--,--,开曼群岛,香港中环置地广场告罗士打大厦20楼2004室,--,--
8072_1.HK,媒体伯乐,媒体伯乐集团有限公司,Media Partners International Holdings Inc.,2006/04/06,2002/01/31,私有化,--,--,开曼群岛,香港夏悫道18号海富中心2座14楼1401号办公室A至B单位,--,--
8030_1.HK,数通集团,数通集团有限公司,Digitel Group Limited,2006/03/31,2000/07/12,被取消上市地位,--,"该公司股份由2002年7月2日起停牌。该公司于2005年9月15日宣布,联交所拟行使其除牌权力,取消该公司股份于联交所的上市地位。该公司获给予六个月的期限(至2006年3月8日止),以提交有效的复牌建议并就该等引致联交所拟行使其除牌权力的事宜作出补救;而该公司须于该六个月期限届满前最少十个营业日(定义见《创业板上市规则》)提交该复牌建议。该公司未能按有关要求提交有效的复牌建议,故此联交所将取消该公司股份的上市地位。",开曼群岛,香港干诺道中68号华懋广场II期18楼,--,--
