view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
chapter,mean,m3,all,307,0.042375010578981215,0.7407130708376418,0.03417688276684969,0.3309346525867194
chapter,mean,m3,main_profitable,242,0.07654633876936774,1.1893402758156892,0.0545453670041529,0.4608620915804898
chapter,mean,m3,main_all,274,0.05113376722293374,0.844424357941305,0.06517398475212786,0.6345116840586957
chapter,median,m3,all,307,0.0624481755760331,1.0927433078458044,0.1934895820591255,1.2632494029776937
chapter,median,m3,main_profitable,242,0.021207509277262945,0.3286192289301104,-0.004920455050774347,-0.048517928899867266
chapter,median,m3,main_all,274,0.05159875089358772,0.8521235164554364,0.050563858316960836,0.5371357988630724
chapter,top3_recent_mean,m3,all,307,0.05030789783711963,0.879703583749686,0.030228512088776624,0.3231034782564092
chapter,top3_recent_mean,m3,main_profitable,242,0.03819764981548507,0.5921876228691659,0.061586877218446676,0.5757027920284281
chapter,top3_recent_mean,m3,main_all,274,0.04316621767611029,0.7125796921261149,0.04239135947809647,0.4377009611514118
chapter,n_peers,m3,all,307,0.02401034123070764,0.41944350383103546,0.07403540151587985,0.7731950832790129
chapter,n_peers,m3,main_profitable,242,0.1067588268430608,1.6634070958677354,0.10859801273465446,0.9503176823070338
chapter,n_peers,m3,main_all,274,0.053342565234406565,0.8810024311586155,0.07920173587481777,0.7554106573156065
chapter,mean,m6,all,242,0.08590478187414512,1.3357690266396804,-0.10915795238261601,-0.5205208231057391
chapter,mean,m6,main_profitable,198,0.10345988168295112,1.4562531404195602,0.17647732540182826,0.8864577403945108
chapter,mean,m6,main_all,219,0.08873085797498073,1.3122631987082898,0.1096280735143054,0.5959989579602857
chapter,median,m6,all,242,0.07053598238377319,1.09546729120829,-0.010751292692637821,-0.05206210272648509
chapter,median,m6,main_profitable,198,0.08038838930056426,1.1290916238864261,0.0667422047911674,0.26455543879506815
chapter,median,m6,main_all,219,0.13125296170689746,1.9503495110860207,0.0204514859087749,0.0907268531346048
chapter,top3_recent_mean,m6,all,242,0.03969867054595099,0.6154943555694908,-0.046450194761376296,-0.21747458615224805
chapter,top3_recent_mean,m6,main_profitable,198,0.047749584473522684,0.6692575792938387,-0.01685557304527513,-0.06586304639778462
chapter,top3_recent_mean,m6,main_all,219,0.06322400409069119,0.9332147631559553,0.012299997226513204,0.052711184639592366
chapter,n_peers,m6,all,242,0.03851824588271218,0.5971652574393519,0.10002136156398078,0.6565957665804966
chapter,n_peers,m6,main_profitable,198,0.13314997650644186,1.8808469194247446,0.2768441966313207,1.6027278541077
chapter,n_peers,m6,main_all,219,0.021203234762048263,0.3124133869660167,0.07484403704286452,0.4548657955800787
chapter,mean,m12,all,137,0.21304068291871261,2.533469065983764,0.34136602027409496,1.3540952416362138
chapter,mean,m12,main_profitable,121,0.2016666520611297,2.246070734378003,0.38174782439362087,1.4021384075738812
chapter,mean,m12,main_all,127,0.15574985646066764,1.7628492123385733,0.21603333541969263,0.7721540862235626
chapter,median,m12,all,137,-0.07651295649944413,-0.8916139073366551,-0.4062014249490624,-0.6103706326082822
chapter,median,m12,main_profitable,121,-0.12190120045196148,-1.339776836839285,-0.42178354622220393,-0.5643679131673573
chapter,median,m12,main_all,127,-0.07283157963617841,-0.8164500989518653,-0.3800651926824118,-0.5294417761673673
chapter,top3_recent_mean,m12,all,137,0.1723189778067325,2.0325704036742542,-0.24725638079493908,-0.39916256967305497
chapter,top3_recent_mean,m12,main_profitable,121,0.1817569086377024,2.0163186153448915,-0.23945710455598232,-0.3443445127646704
chapter,top3_recent_mean,m12,main_all,127,0.2093841321592015,2.3940536384479545,-0.2994399891573819,-0.4453463027280993
chapter,n_peers,m12,all,137,0.22293006003773194,2.657080135273015,0.15681023018320311,0.7112713456809966
chapter,n_peers,m12,main_profitable,121,0.2856915991954099,3.252068380127075,0.1976833762386976,0.7283722032430131
chapter,n_peers,m12,main_all,127,0.1730233289919046,1.9640824557180854,0.1329339018986895,0.5741911570034547
chapter,mean,unlock_d30,all,221,0.070277904867689,1.0425958866732146,0.028249475405976707,0.47653215761660306
chapter,mean,unlock_d30,main_profitable,182,0.02589594654316506,0.3475471329784641,0.0046340684421137535,0.08231969305249474
chapter,mean,unlock_d30,main_all,200,0.06259705449566032,0.8825494168595602,0.009369455456359697,0.1681722979063492
chapter,median,unlock_d30,all,221,-0.01193658448825006,-0.1766579049085158,0.04430070774009827,0.799436889008332
chapter,median,unlock_d30,main_profitable,182,-0.08928958849107749,-1.2027496712767851,-0.02666634542792676,-0.47783478528423934
chapter,median,unlock_d30,main_all,200,-0.07404826263213755,-1.044819800799025,-0.008404598193067003,-0.15196709875135725
chapter,top3_recent_mean,unlock_d30,all,221,0.048457577372615857,0.7179500768180699,0.07500636709233502,1.2943170123445422
chapter,top3_recent_mean,unlock_d30,main_profitable,182,-0.029637130658253543,-0.3977985763217287,-0.018937654595517796,-0.32340374609888567
chapter,top3_recent_mean,unlock_d30,main_all,200,0.0045031395611061995,0.06336543277209525,0.025657925927407205,0.46457858987850226
