ipo_id,stock_code,concept_id,concept_name,data_date
HK_1641_HK_2026,1641.HK,011007_301740,次新股[HK],2026-05-09
HK_1768_HK_2026,1768.HK,011007_301740,次新股[HK],2026-05-09
HK_1828_HK_2025,1828.HK,011007_301740,次新股[HK],2026-05-09
HK_1879_HK_2026,1879.HK,011007_301740,次新股[HK],2026-05-09
HK_1880_HK_2022,1880.HK,011007_301775,国企改革[HK],2026-05-09
HK_1880_HK_2022,1880.HK,011007_301900,电子商务[HK],2026-05-09
HK_1880_HK_2022,1880.HK,011007_307596,自由贸易港[HK],2026-05-09
HK_1880_HK_2022,1880.HK,011007_308787,旅游及观光[HK],2026-05-09
HK_1989_HK_2026,1989.HK,011007_301740,次新股[HK],2026-05-09
HK_2026_HK_2025,2026.HK,011007_301740,次新股[HK],2026-05-09
HK_2050_HK_2025,2050.HK,011007_301740,次新股[HK],2026-05-09
HK_2097_HK_2025,2097.HK,011007_302023,餐饮连锁[HK],2026-05-09
HK_2097_HK_2025,2097.HK,011007_306256,零售股[HK],2026-05-09
HK_2097_HK_2025,2097.HK,011007_308789,非酒精饮料[HK],2026-05-09
HK_2145_HK_2022,2145.HK,011007_306256,零售股[HK],2026-05-09
HK_2145_HK_2022,2145.HK,011007_307378,化妆美容股[HK],2026-05-09
HK_2149_HK_2023,2149.HK,011007_309171,半导体概念[HK],2026-05-09
HK_2157_HK_2022,2157.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_2167_HK_2022,2167.HK,011007_308674,SaaS概念[HK],2026-05-09
HK_2179_HK_2022,2179.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_2228_HK_2024,2228.HK,011007_305848,人工智能[HK],2026-05-09
HK_2228_HK_2024,2228.HK,011007_308112,创新药[HK],2026-05-09
HK_2228_HK_2024,2228.HK,011007_309172,机器人概念[HK],2026-05-09
HK_2228_HK_2024,2228.HK,011007_309178,脑机接口[HK],2026-05-09
HK_2237_HK_2022,2237.HK,011007_305798,锂电池[HK],2026-05-09
HK_2245_HK_2022,2245.HK,011007_308863,金属镍[HK],2026-05-09
HK_2250_HK_2022,2250.HK,011007_308938,NFT概念[HK],2026-05-09
HK_2259_HK_2025,2259.HK,011007_301740,次新股[HK],2026-05-09
HK_2297_HK_2022,2297.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_2306_HK_2023,2306.HK,011007_309175,IP经济(谷子经济)[HK],2026-05-09
HK_2315_HK_2022,2315.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_2325_HK_2022,2325.HK,011007_308939,数字经济[HK],2026-05-09
HK_2352_HK_2022,2352.HK,011007_308665,物业管理[HK],2026-05-09
HK_2361_HK_2022,2361.HK,011007_308674,SaaS概念[HK],2026-05-09
HK_2376_HK_2022,2376.HK,011007_308665,物业管理[HK],2026-05-09
HK_2385_HK_2022,2385.HK,011007_305958,教育服务[HK],2026-05-09
HK_2390_HK_2022,2390.HK,011007_308392,知名公司[HK],2026-05-09
HK_2390_HK_2022,2390.HK,011007_308804,回港中概股[HK],2026-05-09
HK_2390_HK_2022,2390.HK,011007_309018,双重主要上市中概股[HK],2026-05-09
HK_2391_HK_2022,2391.HK,011007_308804,回港中概股[HK],2026-05-09
HK_2391_HK_2022,2391.HK,011007_309018,双重主要上市中概股[HK],2026-05-09
HK_2391_HK_2022,2391.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_2392_HK_2022,2392.HK,011007_308674,SaaS概念[HK],2026-05-09
HK_2392_HK_2022,2392.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_2396_HK_2025,2396.HK,011007_301740,次新股[HK],2026-05-09
HK_2402_HK_2023,2402.HK,011007_306172,燃料电池[HK],2026-05-09
HK_2402_HK_2023,2402.HK,011007_308857,氢能源[HK],2026-05-09
HK_2408_HK_2025,2408.HK,011007_301740,次新股[HK],2026-05-09
HK_2410_HK_2024,2410.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_2415_HK_2023,2415.HK,011007_301989,智能医疗[HK],2026-05-09
HK_2415_HK_2023,2415.HK,011007_308100,互联网医疗[HK],2026-05-09
HK_2423_HK_2022,2423.HK,011007_308392,知名公司[HK],2026-05-09
HK_2423_HK_2022,2423.HK,011007_308804,回港中概股[HK],2026-05-09
HK_2423_HK_2022,2423.HK,011007_308958,房地产服务[HK],2026-05-09
HK_2423_HK_2022,2423.HK,011007_309018,双重主要上市中概股[HK],2026-05-09
HK_2431_HK_2024,2431.HK,011007_301765,新能源汽车[HK],2026-05-09
HK_2431_HK_2024,2431.HK,011007_305848,人工智能[HK],2026-05-09
HK_2431_HK_2024,2431.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_2431_HK_2024,2431.HK,011007_306264,智能物流[HK],2026-05-09
HK_2431_HK_2024,2431.HK,011007_308973,宁德时代概念[HK],2026-05-09
HK_2432_HK_2024,2432.HK,011007_309172,机器人概念[HK],2026-05-09
HK_2438_HK_2024,2438.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_2460_HK_2024,2460.HK,011007_306256,零售股[HK],2026-05-09
HK_2460_HK_2024,2460.HK,011007_308789,非酒精饮料[HK],2026-05-09
HK_2465_HK_2024,2465.HK,011007_308847,数据中心[HK],2026-05-09
