ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_2621_HK_2025,2621.HK,ths_global,金融,保险Ⅱ,保险Ⅲ,保险经纪商,011003007003051120,6,2026-05-09
HK_2625_HK_2025,2625.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,日常消费品零售,011003005001034089,6,2026-05-09
HK_2627_HK_2025,2627.HK,sw,医药生物,生物制品,疫苗,,011008011003002,5,2026-05-09
HK_2627_HK_2025,2627.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2629_HK_2025,2629.HK,sw,医药生物,医疗器械,体外诊断,,011008011005003,5,2026-05-09
HK_2629_HK_2025,2629.HK,ths_global,医疗保健,制药、生物科技和生命科学,生物科技Ⅲ,生物科技Ⅳ,011003006002043106,6,2026-05-09
HK_2630_HK_2025,2630.HK,ths_global,医疗保健,制药、生物科技和生命科学,生物科技Ⅲ,生物科技Ⅳ,011003006002043106,6,2026-05-09
HK_2631_HK_2025,2631.HK,sw,电子,半导体,半导体材料,,011008005001002,5,2026-05-09
HK_2631_HK_2025,2631.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_2632_HK_2026,2632.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子设备和仪器,011003008002060148,6,2026-05-09
HK_2635_HK_2025,2635.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_2637_HK_2025,2637.HK,sw,医药生物,化学制药,化学制剂,,011008011001002,5,2026-05-09
HK_2637_HK_2025,2637.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2643_HK_2025,2643.HK,sw,社会服务,本地生活服务Ⅱ,本地生活服务Ⅲ,,011008016002001,5,2026-05-09
HK_2643_HK_2025,2643.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_2648_HK_2025,2648.HK,sw,食品饮料,食品加工,预加工食品,,011008008001003,5,2026-05-09
HK_2648_HK_2025,2648.HK,ths_global,日常消费品,日常消费品分销和零售,日常消费品分销和零售,食品分销商,011003005001034087,6,2026-05-09
HK_2649_HK_2026,2649.HK,ths_global,非日常生活消费品,汽车与汽车零部件,汽车零部件,汽车零件与设备,011003004001022050,6,2026-05-09
HK_2650_HK_2025,2650.HK,ths_global,非日常生活消费品,非必需消费品分销和零售,专营零售,汽车零售,011003004005033084,6,2026-05-09
HK_2651_HK_2025,2651.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健提供商与服务,保健护理机构,011003006001041103,6,2026-05-09
HK_2652_HK_2025,2652.HK,sw,医药生物,化学制药,化学制剂,,011008011001002,5,2026-05-09
HK_2652_HK_2025,2652.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2655_HK_2025,2655.HK,sw,电力设备,电池,蓄电池及其他电池,,011008022005005,5,2026-05-09
HK_2655_HK_2025,2655.HK,ths_global,工业,资本品,电气设备,重型电气设备,011003003001011027,6,2026-05-09
HK_2656_HK_2025,2656.HK,sw,医药生物,医药商业,互联网药店,,011008011004003,5,2026-05-09
HK_2656_HK_2025,2656.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健技术Ⅲ,医疗保健技术Ⅳ,011003006001042105,6,2026-05-09
HK_2657_HK_2025,2657.HK,ths_global,日常消费品,家庭与个人用品,个人护理用品,个人护理用品,011003005003039098,6,2026-05-09
HK_2658_HK_2025,2658.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_2659_HK_2025,2659.HK,sw,医药生物,生物制品,其他生物制品,,011008011003003,5,2026-05-09
HK_2659_HK_2025,2659.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_2661_HK_2025,2661.HK,sw,医药生物,医药商业,互联网药店,,011008011004003,5,2026-05-09
HK_2661_HK_2025,2661.HK,ths_global,金融,保险Ⅱ,保险Ⅲ,保险经纪商,011003007003051120,6,2026-05-09
HK_2665_HK_2025,2665.HK,sw,汽车,汽车零部件,汽车电子电气系统,,011008006001005,5,2026-05-09
HK_2665_HK_2025,2665.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2670_HK_2025,2670.HK,ths_global,工业,资本品,机械制造,工业机械和用品及零部件,011003003001013030,6,2026-05-09
HK_2671_HK_2025,2671.HK,sw,建筑装饰,专业工程,钢结构,,011008021004001,5,2026-05-09
HK_2671_HK_2025,2671.HK,ths_global,工业,资本品,建筑与工程Ⅲ,建筑与工程Ⅳ,011003003001010025,6,2026-05-09
HK_2675_HK_2026,2675.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健设备与用品,医疗保健设备,011003006001040099,6,2026-05-09
HK_2676_HK_2025,2676.HK,sw,电子,半导体,模拟芯片设计,,011008005001004,5,2026-05-09
HK_2676_HK_2025,2676.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_2677_HK_2026,2677.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健提供商与服务,保健护理机构,011003006001041103,6,2026-05-09
HK_2685_HK_2025,2685.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_2685_HK_2025,2685.HK,ths_global,通讯业务,媒体与娱乐,互动媒体与服务Ⅲ,互动媒体与服务Ⅳ,011003009002003001,6,2026-05-09
HK_2687_HK_2025,2687.HK,sw,计算机,IT服务Ⅱ,IT服务Ⅲ,,011008025002001,5,2026-05-09
HK_2687_HK_2025,2687.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2691_HK_2025,2691.HK,sw,非银金融,多元金融,期货,,011008018003002,5,2026-05-09
HK_2691_HK_2025,2691.HK,ths_global,金融,金融服务,资本市场,资产管理与托管银行,011003007002050117,6,2026-05-09
HK_2692_HK_2026,2692.HK,sw,电力设备,电机Ⅱ,电机Ⅲ,,011008022001001,5,2026-05-09
HK_2692_HK_2026,2692.HK,ths_global,非日常生活消费品,汽车与汽车零部件,汽车零部件,汽车零件与设备,011003004001022050,6,2026-05-09
HK_2693_HK_2025,2693.HK,sw,基础化工,非金属材料Ⅱ,非金属材料Ⅲ,,011008002007001,5,2026-05-09
HK_2693_HK_2025,2693.HK,ths_global,原材料,原材料Ⅱ,金属与采矿,多种金属与采矿,011003002001006017,6,2026-05-09
HK_2695_HK_2025,2695.HK,sw,社会服务,旅游及景区,人工景区,,011008016005002,5,2026-05-09
HK_2695_HK_2025,2695.HK,ths_global,非日常生活消费品,消费者服务,酒店、餐馆与休闲,酒店、度假村与豪华游轮,011003004003027065,6,2026-05-09
HK_2698_HK_2025,2698.HK,sw,美容护理,个护用品,生活用纸,,011008031001001,5,2026-05-09
HK_2698_HK_2025,2698.HK,ths_global,日常消费品,家庭与个人用品,居家用品Ⅲ,居家用品Ⅳ,011003005003038097,6,2026-05-09
HK_2701_HK_2026,2701.HK,sw,电子,半导体,数字芯片设计,,011008005001003,5,2026-05-09
HK_2701_HK_2026,2701.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_2706_HK_2026,2706.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2714_HK_2026,2714.HK,sw,农林牧渔,养殖业,生猪养殖,,011008001006001,5,2026-05-09
HK_2714_HK_2026,2714.HK,ths_global,日常消费品,食品、饮料与烟草,食品,包装食品与肉类,011003005002036095,6,2026-05-09
